customer_id,place_id,start_date_time,end_date_time
1,54,2021-05-03 12:00,2021-06-20 10:00
2,94,2021-05-03 12:01,2021-06-19 10:00
3,94,2021-05-03 12:02,2021-06-19 10:00
4,94,2021-05-03 12:03,2021-06-19 10:00
5,66,2021-05-03 12:04,2021-06-18 10:00
6,157,2021-05-03 12:05,2021-06-20 10:00
7,157,2021-05-03 12:06,2021-06-20 10:00
8,144,2021-05-03 12:07,2021-06-18 10:00
9,52,2021-05-03 12:08,2021-06-18 10:00
10,71,2021-05-03 12:09,2021-06-19 10:00
11,304,2021-05-03 12:10,2021-06-18 10:00
12,305,2021-05-03 12:11,2021-06-20 10:00
13,386,2021-05-03 12:12,2021-06-18 10:00
14,230,2021-05-03 12:13,2021-06-19 10:00
15,229,2021-05-03 12:14,2021-06-18 10:00
16,391,2021-05-03 12:15,2021-06-21 10:00
17,118,2021-05-03 12:16,2021-06-20 10:00
18,106,2021-05-03 12:17,2021-06-21 10:00
19,62,2021-05-03 12:18,2021-06-21 10:00
20,63,2021-05-03 12:19,2021-06-19 10:00
21,104,2021-05-03 12:20,2021-06-18 10:00
22,105,2021-05-03 12:21,2021-06-21 10:00
23,120,2021-05-03 12:22,2021-06-20 10:00
24,120,2021-05-03 12:23,2021-06-20 10:00
25,67,2021-05-03 12:24,2021-06-21 10:00
