v_log_id,timestamp_in,timestamp_out,nfc_id,place_id
1,2021-06-12 00:59:09,2021-06-12 02:50:03,1,42
2,2021-06-11 19:50:35,2021-06-11 20:11:21,1,50
3,2021-05-16 17:51:56,2021-05-16 18:10:23,2,36
4,2021-05-15 03:32:54,2021-05-15 04:52:13,2,31
5,2021-05-15 18:17:05,2021-05-15 18:53:31,2,37
6,2021-05-14 22:49:39,2021-05-15 00:36:52,2,40
7,2021-05-23 18:01:10,2021-05-23 19:00:53,3,37
8,2021-05-21 21:43:02,2021-05-21 22:07:09,3,39
9,2021-05-22 13:51:11,2021-05-22 15:37:35,3,48
10,2021-05-23 07:07:23,2021-05-23 09:01:57,3,46
11,2021-05-24 12:17:55,2021-05-24 12:48:40,3,47
12,2021-05-15 18:18:56,2021-05-15 18:43:39,4,28
13,2021-05-13 08:45:02,2021-05-13 10:12:22,4,31
14,2021-05-15 22:11:50,2021-05-15 22:50:50,4,29
15,2021-05-17 23:01:10,2021-05-18 00:22:29,4,38
16,2021-05-16 19:41:22,2021-05-16 20:30:36,4,38
17,2021-05-15 12:41:41,2021-05-15 13:44:19,4,39
18,2021-05-14 10:17:58,2021-05-14 11:59:21,4,46
19,2021-05-17 19:08:02,2021-05-17 19:24:43,4,43
20,2021-06-12 01:13:34,2021-06-12 01:36:58,5,31
21,2021-06-11 21:19:02,2021-06-11 22:47:21,5,34
22,2021-06-09 11:00:39,2021-06-09 12:54:19,5,37
23,2021-06-10 10:15:34,2021-06-10 12:15:08,5,46
24,2021-06-10 05:03:54,2021-06-10 06:28:43,5,45
25,2021-06-13 00:31:23,2021-06-13 01:29:43,5,49
26,2021-05-21 04:40:57,2021-05-21 05:23:14,6,46
27,2021-05-21 14:55:56,2021-05-21 16:17:46,6,45
28,2021-05-21 04:01:59,2021-05-21 05:52:08,6,48
29,2021-05-22 00:05:55,2021-05-22 00:53:56,6,34
30,2021-05-13 16:52:41,2021-05-13 18:11:42,7,49
31,2021-05-12 04:15:49,2021-05-12 05:20:07,7,43
32,2021-05-12 11:57:23,2021-05-12 12:21:08,7,29
33,2021-05-14 02:40:31,2021-05-14 03:06:04,7,36
34,2021-05-15 14:15:29,2021-05-15 14:26:09,7,34
35,2021-06-10 22:50:59,2021-06-11 00:26:36,8,44
36,2021-06-11 03:07:04,2021-06-11 04:52:52,8,36
37,2021-05-30 01:36:01,2021-05-30 01:45:38,9,28
38,2021-05-30 14:19:30,2021-05-30 15:34:30,9,33
39,2021-05-28 07:55:09,2021-05-28 09:40:56,9,34
40,2021-05-28 11:11:19,2021-05-28 13:08:45,9,40
41,2021-06-01 02:50:21,2021-06-01 04:46:55,9,39
42,2021-05-31 20:39:10,2021-05-31 22:04:19,9,38
43,2021-05-30 21:35:40,2021-05-30 21:48:08,9,47
44,2021-05-09 23:10:23,2021-05-10 00:02:09,10,28
45,2021-05-09 22:07:34,2021-05-09 22:53:02,10,27
46,2021-05-09 23:46:35,2021-05-10 00:49:55,10,35
47,2021-05-11 21:54:14,2021-05-11 23:40:25,10,40
48,2021-05-11 04:04:26,2021-05-11 06:03:19,10,45
49,2021-06-05 13:56:01,2021-06-05 15:45:34,11,31
50,2021-06-05 19:13:14,2021-06-05 21:05:14,11,32
51,2021-06-05 14:22:59,2021-06-05 15:50:02,11,30
52,2021-06-06 06:33:14,2021-06-06 06:39:58,11,37
53,2021-06-08 07:33:56,2021-06-08 09:19:40,11,40
54,2021-06-07 19:41:30,2021-06-07 20:30:20,11,40
55,2021-06-05 15:21:33,2021-06-05 16:19:44,11,43
56,2021-06-07 17:18:37,2021-06-07 18:52:21,11,47
57,2021-05-26 00:48:32,2021-05-26 01:06:20,12,40
58,2021-05-29 01:11:52,2021-05-29 02:26:44,12,39
59,2021-05-26 07:43:38,2021-05-26 08:00:00,13,37
60,2021-05-27 16:30:46,2021-05-27 16:49:47,13,39
61,2021-05-27 09:26:42,2021-05-27 10:42:20,13,32
62,2021-05-25 21:04:31,2021-05-25 22:45:08,13,35
63,2021-06-03 01:24:08,2021-06-03 03:07:16,14,27
64,2021-06-01 02:40:48,2021-06-01 04:29:17,14,31
65,2021-06-01 21:28:24,2021-06-01 22:17:43,14,37
66,2021-06-04 18:50:43,2021-06-04 19:23:47,14,49
67,2021-05-26 20:40:08,2021-05-26 21:32:11,15,29
68,2021-05-27 04:02:24,2021-05-27 04:17:54,15,28
69,2021-05-25 14:55:44,2021-05-25 15:45:16,15,34
70,2021-05-27 11:16:02,2021-05-27 11:54:47,15,37
71,2021-05-27 07:20:29,2021-05-27 08:32:38,15,37
72,2021-05-26 18:58:47,2021-05-26 19:17:34,15,48
73,2021-05-27 23:00:58,2021-05-28 00:42:40,15,46
74,2021-05-26 02:46:19,2021-05-26 04:10:27,15,46
75,2021-05-08 13:10:38,2021-05-08 14:54:49,16,34
76,2021-05-09 00:11:15,2021-05-09 00:28:23,17,48
77,2021-05-05 22:45:16,2021-05-06 00:16:16,17,44
78,2021-05-08 00:15:22,2021-05-08 00:28:47,17,42
79,2021-05-21 00:37:54,2021-05-21 00:49:31,18,39
80,2021-05-22 06:41:05,2021-05-22 08:17:40,18,40
81,2021-05-28 05:51:13,2021-05-28 05:57:28,19,32
82,2021-05-25 22:58:40,2021-05-26 00:48:05,19,40
83,2021-05-27 10:29:15,2021-05-27 10:53:39,19,38
84,2021-05-29 08:32:19,2021-05-29 09:31:23,19,45
85,2021-05-16 01:07:50,2021-05-16 01:57:09,20,48
86,2021-05-15 03:04:59,2021-05-15 04:37:49,20,30
87,2021-05-31 07:58:10,2021-05-31 09:51:22,21,29
88,2021-05-28 19:44:10,2021-05-28 21:28:50,21,37
89,2021-05-31 13:46:32,2021-05-31 15:38:12,21,37
